Id,MSSubClass,MSZoning,Utilities,Neighborhood,BldgType,RoofMatl,Foundation,TotalBsmtSF,Heating,CentralAir,Electrical,1stFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Functional,GarageType,PavedDrive,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,SalePrice,StreetAlley,LandSlpContr,LotCondition,BsmtFinType,BsmtGrade,LotExterior,ExterGrade,GarageGrade,HouseAge,GarageAge,RemodAge,BsmtFinSF,TotalBsmtBath,LivRmsAbvGrd,WDOpnPorch,TSSnEncPorch,OverallGrade
350,60,RL,AllPub,NridgHt,1Fam,CompShg,PConc,1848,GasA,Y,SBrkr,1848,0,2728,2,1,4,1,Typ,Attchd,Y,missing,missing,0,New,Partial,437154,1.5,1.5,2.0,3.5,1.5,5.0,2.0,4.0,1,0.0,0,1410,1.0,5,0,0,7.0
351,120,RL,AllPub,NridgHt,TwnhsE,CompShg,PConc,1869,GasA,Y,SBrkr,1869,0,1869,2,0,2,1,Typ,Attchd,Y,missing,missing,0,New,Partial,318061,1.5,1.5,2.0,5.0,1.5,8.0,2.0,4.0,0,0.0,0,0,0.0,3,264,0,7.0
352,120,RL,AllPub,ClearCr,1Fam,CompShg,PConc,1453,GasA,Y,SBrkr,1453,0,1453,1,1,2,1,Typ,Attchd,Y,missing,missing,0,WD,Abnorml,190000,1.5,1.5,2.0,3.5,2.5,13.5,3.5,4.0,20,20.0,20,1082,1.0,3,80,184,6.0
353,50,RL,AllPub,Edwards,1Fam,CompShg,CBlock,616,GasA,N,SBrkr,616,0,1111,1,0,3,1,Typ,Detchd,Y,missing,missing,0,ConLw,Normal,95000,1.5,1.5,1.0,3.5,1.5,12.5,3.5,2.5,67,67.0,58,616,0.5,1,48,0,5.5
354,30,RM,AllPub,OldTown,1Fam,CompShg,BrkTil,624,GasA,Y,SBrkr,720,0,720,1,0,2,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,105900,1.5,1.5,2.0,5.0,3.0,12.5,2.5,4.0,82,5.0,7,0,0.0,2,106,0,7.0
355,50,RL,AllPub,SWISU,1Fam,CompShg,CBlock,940,GasA,Y,SBrkr,1192,0,1595,1,0,2,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,140000,1.5,0.0,2.0,4.0,3.0,10.5,3.5,4.0,66,66.0,6,388,0.0,3,0,108,5.5
356,20,RL,AllPub,CollgCr,1Fam,CompShg,PConc,1200,GasA,Y,SBrkr,1200,0,1200,2,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,177500,1.5,1.5,2.0,0.5,1.5,12.5,2.0,4.0,12,12.0,12,878,1.0,2,26,0,5.5
357,20,RL,AllPub,Gilbert,1Fam,CompShg,PConc,1158,GasA,Y,SBrkr,1167,0,1167,2,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,173000,1.5,1.5,2.0,3.5,2.5,6.0,3.5,4.0,17,17.0,17,560,1.0,2,146,0,6.0
358,120,RM,AllPub,MeadowV,TwnhsE,CompShg,PConc,1142,GasA,Y,SBrkr,1142,0,1142,1,1,3,1,Typ,Attchd,Y,MnPrv,missing,0,WD,Normal,134000,1.5,1.5,2.0,2.5,2.5,5.0,3.5,4.0,31,31.0,31,874,1.0,2,626,0,5.0
359,80,RL,AllPub,ClearCr,1Fam,CompShg,CBlock,1062,GasA,Y,FuseF,1352,0,1352,1,0,3,1,Min2,BuiltIn,Y,missing,missing,0,WD,Abnorml,130000,1.5,1.5,2.0,2.5,3.0,10.0,3.5,4.0,48,48.0,48,594,0.5,2,168,294,4.5
360,60,RL,AllPub,NoRidge,1Fam,CompShg,PConc,1086,GasA,Y,SBrkr,1086,0,1924,2,1,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,280000,1.5,1.5,2.0,3.5,2.5,12.5,3.0,4.0,8,8.0,8,956,1.0,3,283,374,6.5
361,85,RL,AllPub,Mitchel,1Fam,CompShg,CBlock,888,GasA,Y,SBrkr,912,0,912,1,0,2,1,Typ,Attchd,Y,MnPrv,missing,0,WD,Normal,156000,1.5,1.5,2.0,3.5,2.5,12.5,3.5,4.0,29,29.0,29,773,1.0,2,0,192,6.0
362,50,RL,AllPub,BrkSide,1Fam,CompShg,CBlock,883,GasA,Y,SBrkr,988,0,1505,1,0,3,1,Typ,Detchd,N,missing,missing,0,WD,Normal,145000,1.0,1.5,2.0,4.5,3.0,8.0,3.5,4.0,68,68.0,26,399,1.0,4,0,0,5.0
363,85,RL,AllPub,Edwards,1Fam,CompShg,Slab,0,GasA,Y,SBrkr,495,0,1922,3,0,4,1,Typ,BuiltIn,Y,missing,missing,0,ConLD,Normal,198500,1.5,1.5,2.0,6.0,4.0,6.0,3.0,4.0,6,6.0,6,0,0.0,2,0,177,6.0
364,160,RM,AllPub,BrDale,Twnhs,CompShg,CBlock,483,GasA,Y,SBrkr,483,0,987,1,1,2,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,118000,1.5,1.5,2.0,2.5,3.0,6.0,3.5,4.0,37,37.0,2,162,0.0,2,250,0,7.0
365,60,RL,AllPub,NWAmes,1Fam,CompShg,PConc,796,GasA,Y,SBrkr,790,0,1574,2,1,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,190000,1.5,1.5,2.0,3.5,2.5,6.0,3.5,4.0,30,30.0,30,712,1.0,2,417,0,5.5
366,70,RM,AllPub,IDOTRR,1Fam,CompShg,CBlock,672,GasA,Y,FuseA,672,0,1344,1,0,3,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,147000,1.5,1.5,2.0,4.5,1.5,12.5,2.5,2.5,89,45.0,12,456,0.0,2,128,218,6.0
367,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,1394,GasA,Y,SBrkr,1394,0,1394,1,1,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,159000,1.5,1.5,2.0,3.0,2.5,9.5,3.5,4.0,46,46.0,46,609,1.0,2,76,185,5.5
368,80,RL,AllPub,NAmes,1Fam,Tar&Grv,CBlock,1099,GasA,Y,SBrkr,1431,0,1431,1,0,3,1,Typ,Basment,Y,missing,missing,0,WD,Normal,165000,1.5,1.5,2.0,3.5,2.5,9.5,3.5,4.0,46,46.0,46,371,0.5,2,174,0,5.5
369,20,RL,AllPub,NAmes,1Fam,CompShg,PConc,1268,GasA,Y,SBrkr,1268,0,1268,1,0,2,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,132000,1.5,1.5,2.0,4.0,3.0,6.0,3.5,4.0,56,56.0,56,540,0.0,4,98,0,5.5
370,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,1063,GasA,Y,SBrkr,1287,0,1287,1,0,3,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,162000,1.5,1.5,2.0,2.0,3.0,13.5,2.5,4.0,51,13.0,4,330,1.0,3,381,182,6.0
371,60,RL,AllPub,Gilbert,1Fam,CompShg,PConc,953,GasA,Y,SBrkr,953,0,1664,2,1,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,172400,1.5,1.5,2.0,5.0,2.5,12.5,3.5,4.0,6,6.0,6,0,0.0,3,140,0,5.5
372,50,RL,AllPub,ClearCr,1Fam,CompShg,CBlock,0,GasA,Y,SBrkr,1120,0,1588,2,0,4,1,Min2,Detchd,N,missing,missing,0,WD,Normal,134432,1.5,1.5,1.5,6.0,4.0,12.0,3.5,4.0,49,17.0,49,0,0.0,2,59,0,4.0
373,120,RL,AllPub,SawyerW,TwnhsE,CompShg,CBlock,744,GasA,Y,SBrkr,752,0,752,1,0,2,1,Typ,Attchd,Y,MnPrv,missing,0,WD,Normal,125000,1.5,1.5,2.0,1.5,2.5,9.5,3.5,4.0,26,26.0,26,744,1.0,1,353,90,5.5
374,20,RL,AllPub,NAmes,1Fam,CompShg,PConc,608,GasA,Y,SBrkr,1319,0,1319,1,0,3,1,Min2,Attchd,Y,GdWo,missing,0,WD,Normal,123000,1.5,1.5,2.0,2.0,3.0,8.0,3.5,4.0,56,56.0,56,608,1.0,1,66,0,5.5
375,60,RL,AllPub,CollgCr,1Fam,CompShg,PConc,847,GasA,Y,SBrkr,847,0,1928,2,1,4,1,Typ,BuiltIn,Y,missing,missing,0,WD,Normal,219500,1.5,1.5,2.0,5.0,2.5,12.5,3.0,4.0,4,4.0,3,0,0.0,3,148,0,6.0
376,30,RL,AllPub,Edwards,1Fam,CompShg,BrkTil,683,GasA,N,FuseA,904,0,904,0,1,1,1,Maj1,missing,Y,missing,missing,0,WD,Normal,61000,1.5,2.0,2.0,3.0,1.5,13.5,1.0,5.0,87,29.0,59,350,1.0,2,0,0,1.0
377,85,RL,AllPub,CollgCr,1Fam,CompShg,PConc,870,GasA,Y,SBrkr,914,0,914,1,0,2,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,148000,1.5,1.5,2.0,3.5,2.5,12.5,3.0,4.0,10,8.0,10,298,0.0,2,0,0,5.0
378,60,FV,AllPub,Somerst,1Fam,CompShg,PConc,1580,GasA,Y,SBrkr,1580,0,2466,3,0,4,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,340000,1.5,1.5,2.0,5.0,2.5,5.0,3.0,4.0,3,3.0,2,0,0.0,3,373,0,6.5
379,20,RL,AllPub,StoneBr,1Fam,CompShg,PConc,1856,GasA,Y,SBrkr,1856,0,1856,1,1,1,1,Typ,Attchd,Y,missing,missing,0,New,Partial,394432,1.5,1.5,2.0,3.5,1.5,12.5,3.0,4.0,0,0.0,0,1445,1.0,6,113,0,5.5
380,60,RL,AllPub,Gilbert,1Fam,CompShg,PConc,982,GasA,Y,SBrkr,1007,0,1800,2,1,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,179000,1.5,1.5,4.0,5.0,2.5,12.5,3.5,4.0,9,9.0,9,0,0.0,3,163,0,5.5
381,50,RL,AllPub,SWISU,1Fam,CompShg,BrkTil,1026,GasA,Y,SBrkr,1026,0,1691,2,0,3,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,127000,1.0,1.5,2.0,4.0,3.0,8.5,3.5,4.0,86,86.0,60,218,0.0,2,0,242,5.5
382,20,FV,AllPub,Somerst,1Fam,CompShg,PConc,1293,GasA,Y,SBrkr,1301,0,1301,2,0,2,1,Typ,Attchd,Y,missing,missing,0,New,Partial,187750,1.0,1.5,2.0,5.0,1.5,12.5,3.0,4.0,0,0.0,0,0,1.0,2,337,0,6.0
383,60,RL,AllPub,CollgCr,1Fam,CompShg,PConc,939,GasA,Y,SBrkr,939,0,1797,2,1,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,213500,1.5,1.5,2.0,5.0,2.5,12.5,3.0,4.0,1,1.0,1,0,0.0,4,197,0,6.0
384,45,RH,AllPub,SawyerW,1Fam,CompShg,BrkTil,784,GasA,N,FuseA,784,0,784,1,0,2,1,Typ,Detchd,N,missing,missing,0,WD,Normal,76000,1.5,1.5,2.0,5.0,0.5,13.5,3.5,1.0,81,59.0,59,0,0.0,2,0,91,4.5
385,60,RL,AllPub,ClearCr,1Fam,CompShg,PConc,1580,GasA,Y,SBrkr,1079,0,1953,2,1,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,240000,1.5,1.5,1.5,3.5,2.5,6.0,3.0,4.0,15,15.0,15,985,1.0,5,447,0,5.5
386,120,RL,AllPub,Blmngtn,TwnhsE,CompShg,PConc,1256,GasA,Y,SBrkr,1269,0,1269,2,0,2,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,192000,1.5,1.5,2.0,3.5,2.5,12.5,3.0,4.0,6,6.0,5,24,0.0,3,166,144,6.5
387,50,RL,AllPub,Edwards,1Fam,CompShg,PConc,658,GasA,Y,SBrkr,658,0,1184,1,0,5,1,Typ,missing,N,missing,missing,0,WD,AdjLand,81000,1.5,1.5,1.5,5.0,3.0,13.0,2.0,5.0,96,26.0,10,0,0.0,2,151,0,4.0
388,80,RL,AllPub,Edwards,1Fam,CompShg,CBlock,1041,GasA,Y,SBrkr,1125,0,1125,1,0,3,1,Typ,Detchd,Y,GdWo,missing,0,WD,Abnorml,125000,1.5,1.5,2.0,2.5,3.0,8.0,3.5,4.0,33,32.0,33,631,1.0,2,296,0,6.0
389,20,RL,AllPub,CollgCr,1Fam,CompShg,PConc,1468,GasA,Y,SBrkr,1479,0,1479,2,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,191000,1.5,1.5,2.0,5.0,2.5,12.5,3.0,4.0,9,9.0,8,0,0.0,2,145,0,6.0
390,60,RL,AllPub,NridgHt,1Fam,CompShg,PConc,1682,GasA,Y,SBrkr,1742,0,2332,2,1,3,1,Typ,BuiltIn,Y,missing,missing,0,New,Partial,426000,1.5,1.5,2.0,3.5,1.5,12.5,2.0,4.0,1,0.0,0,1280,1.0,5,330,0,7.5
391,50,RL,AllPub,Edwards,1Fam,CompShg,BrkTil,861,GasA,Y,SBrkr,961,0,1367,1,0,4,1,Typ,Detchd,Y,MnPrv,missing,0,WD,Normal,119000,0.5,1.5,2.0,2.5,2.0,8.0,3.5,4.0,108,30.0,58,632,1.0,2,130,112,6.5
392,60,RL,AllPub,Mitchel,1Fam,CompShg,PConc,804,GasA,Y,SBrkr,804,0,1961,2,1,3,1,Typ,BuiltIn,Y,missing,missing,0,WD,Normal,215000,1.5,1.5,2.0,2.5,1.5,12.5,3.5,4.0,8,8.0,7,690,1.0,3,317,0,5.5
393,20,RL,AllPub,NAmes,1Fam,CompShg,Slab,0,GasA,Y,SBrkr,882,0,882,1,0,3,1,Typ,Attchd,Y,MnPrv,Shed,1200,WD,Normal,106500,1.5,1.5,2.0,6.0,4.0,8.0,3.5,4.0,48,48.0,48,0,0.0,1,0,0,6.0
394,30,RL,AllPub,BrkSide,1Fam,CompShg,CBlock,788,GasA,Y,FuseA,788,0,788,1,0,2,1,Typ,missing,Y,GdWo,missing,0,WD,Abnorml,100000,1.5,1.5,1.5,4.5,3.0,14.5,3.5,5.0,65,26.0,56,266,0.0,1,0,0,4.5
395,50,RL,AllPub,OldTown,1Fam,CompShg,CBlock,735,GasA,Y,FuseA,735,0,1034,1,0,2,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,109000,1.5,1.5,2.0,5.0,3.0,8.0,3.5,4.0,67,67.0,57,0,0.0,2,39,0,5.5
396,20,RL,AllPub,Edwards,1Fam,CompShg,CBlock,1144,GasA,Y,SBrkr,1144,0,1144,1,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,129000,1.5,1.5,2.0,3.0,3.0,13.5,3.5,4.0,54,54.0,54,739,1.0,2,44,0,5.5
397,20,RL,AllPub,CollgCr,1Fam,CompShg,CBlock,894,GasA,Y,SBrkr,894,0,894,1,0,2,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,123000,1.5,1.0,2.0,4.5,3.0,8.0,3.5,4.0,37,24.0,37,777,0.0,3,215,0,5.0
398,60,RL,AllPub,NAmes,1Fam,CompShg,CBlock,864,GasA,Y,SBrkr,876,0,1812,2,0,4,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,169500,1.5,1.5,3.0,2.5,3.0,12.5,3.5,4.0,45,45.0,45,540,0.0,3,168,0,5.0
399,30,RM,AllPub,IDOTRR,1Fam,CompShg,BrkTil,961,GasA,Y,Mix,1077,0,1077,1,0,2,1,Maj2,Detchd,N,missing,missing,0,WD,Abnorml,67000,1.5,1.5,2.0,5.0,1.5,8.0,2.0,3.0,87,87.0,57,0,0.0,3,0,0,3.5
400,60,FV,AllPub,Somerst,1Fam,CompShg,PConc,1092,GasA,Y,SBrkr,1112,0,1550,2,0,2,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,241000,1.5,1.5,2.0,3.5,2.5,5.0,3.0,4.0,3,2.0,2,812,1.0,4,168,0,6.0
401,120,RL,AllPub,Veenker,TwnhsE,CompShg,PConc,1260,GasA,Y,SBrkr,1288,0,1288,1,1,1,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,245500,1.5,1.5,2.0,3.5,2.5,3.0,3.0,4.0,12,12.0,12,786,1.0,2,150,224,6.5
402,20,RL,AllPub,CollgCr,1Fam,CompShg,PConc,1310,GasA,Y,SBrkr,1310,0,1310,2,0,3,1,Typ,Attchd,Y,missing,missing,0,New,Partial,164990,1.5,1.5,2.0,3.5,2.5,12.5,3.0,4.0,1,1.0,1,24,0.0,2,0,0,6.0
403,30,RL,AllPub,Sawyer,1Fam,CompShg,PConc,672,GasA,Y,SBrkr,672,0,672,1,0,2,1,Typ,Detchd,N,GdPrv,missing,0,WD,Normal,108000,1.5,1.5,2.0,5.0,3.0,13.5,3.5,4.0,68,68.0,11,0,0.0,1,168,0,6.5
404,60,RL,AllPub,NoRidge,1Fam,CompShg,PConc,1141,GasA,Y,SBrkr,1165,0,2263,2,1,4,1,Typ,BuiltIn,Y,missing,missing,0,WD,Abnorml,258000,1.5,1.5,2.0,5.0,2.5,12.5,3.0,4.0,8,8.0,8,0,0.0,5,267,0,6.5
405,60,RL,AllPub,Gilbert,1Fam,CompShg,PConc,806,GasA,Y,SBrkr,806,0,1572,2,1,3,1,Typ,BuiltIn,Y,missing,missing,0,WD,Normal,168000,1.5,1.5,2.0,5.0,2.5,8.0,3.5,4.0,12,12.0,11,0,0.0,3,40,0,5.5
406,20,RL,AllPub,Sawyer,1Fam,CompShg,CBlock,1281,GasA,Y,SBrkr,1620,0,1620,2,0,3,1,Min1,Attchd,Y,GdWo,missing,0,WD,Normal,150000,1.5,1.5,1.5,3.0,3.0,9.5,3.5,4.0,33,16.0,16,1116,1.0,4,198,0,4.0
407,50,RL,AllPub,SWISU,1Fam,CompShg,BrkTil,1064,GasA,Y,FuseA,1166,473,1639,1,0,3,1,Maj2,Detchd,Y,missing,missing,0,WD,Normal,115000,1.5,1.5,2.0,5.0,3.0,8.0,3.5,4.0,72,72.0,58,0,0.0,2,0,0,5.5
408,70,RL,AllPub,Crawfor,1Fam,CompShg,BrkTil,840,GasA,Y,SBrkr,840,0,1680,2,0,4,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,177000,1.5,1.5,2.0,5.0,2.5,11.5,3.5,4.0,93,48.0,32,0,0.0,3,0,160,6.5
409,60,RL,AllPub,NridgHt,1Fam,CompShg,PConc,1063,GasA,Y,SBrkr,1071,0,2172,2,1,3,1,Typ,Attchd,Y,missing,missing,0,New,Partial,280000,1.5,1.5,2.0,5.0,0.5,12.5,3.0,4.0,1,1.0,1,0,0.0,5,254,0,6.0
410,60,FV,AllPub,Somerst,1Fam,CompShg,PConc,1034,GasA,Y,SBrkr,1050,0,2078,2,1,3,1,Typ,Attchd,Y,missing,missing,0,New,Partial,339750,1.5,1.5,2.0,3.5,1.5,12.5,3.0,4.0,1,0.0,0,789,1.0,4,102,0,6.5
411,20,RL,AllPub,Edwards,1Fam,CompShg,CBlock,1276,GasA,Y,FuseA,1276,0,1276,1,0,3,1,Mod,Attchd,Y,missing,missing,0,COD,Abnorml,60000,1.5,1.5,2.0,5.0,1.5,2.0,2.0,4.0,51,51.0,51,0,0.0,1,0,0,4.0
412,190,RL,AllPub,Gilbert,2fmCon,CompShg,CBlock,1056,GasA,N,SBrkr,1056,0,1056,1,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,145000,1.5,0.0,2.0,4.5,3.0,13.5,3.5,4.0,51,51.0,51,1056,1.0,1,264,0,5.0
413,20,FV,AllPub,Somerst,1Fam,CompShg,PConc,1470,GasA,Y,SBrkr,1478,0,1478,2,1,2,1,Typ,Attchd,Y,missing,missing,0,New,Partial,222000,1.5,1.5,2.0,3.5,1.5,8.0,2.0,4.0,1,1.0,1,578,1.0,4,144,0,6.0
414,30,RM,AllPub,OldTown,1Fam,CompShg,CBlock,1008,GasA,Y,FuseA,1028,0,1028,1,0,2,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,115000,0.5,1.5,1.0,5.0,3.0,14.5,3.5,4.0,83,83.0,60,0,0.0,2,0,130,5.5
415,60,RL,AllPub,SawyerW,1Fam,CompShg,PConc,1080,GasA,Y,SBrkr,1080,0,2097,2,1,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,228000,1.5,1.5,2.0,1.5,2.5,12.5,3.0,4.0,15,15.0,15,581,0.5,5,383,0,6.0
416,20,RL,AllPub,Gilbert,1Fam,CompShg,PConc,1340,GasA,Y,SBrkr,1340,0,1340,2,0,3,1,Typ,Attchd,Y,missing,missing,0,New,Partial,181134,1.5,1.5,2.0,3.5,2.5,12.5,3.0,4.0,0,0.0,0,24,0.0,2,130,0,6.0
417,60,RL,AllPub,Sawyer,1Fam,CompShg,CBlock,672,GasA,Y,SBrkr,672,0,1400,1,1,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,149500,1.5,1.5,2.0,2.5,3.0,6.0,3.5,4.0,28,28.0,28,209,0.0,2,0,0,6.5
418,70,RL,AllPub,Crawfor,1Fam,CompShg,BrkTil,1370,GasW,N,FuseA,1370,0,2624,2,1,4,1,Typ,Detchd,N,missing,missing,0,WD,Normal,239000,1.5,1.5,1.5,3.0,2.5,12.5,3.5,4.0,89,89.0,57,1128,1.0,5,0,0,6.0
419,50,RL,AllPub,Edwards,1Fam,CompShg,BrkTil,756,GasA,N,FuseF,756,0,1134,1,1,3,1,Typ,Detchd,P,missing,missing,0,WD,AdjLand,126000,1.5,1.5,2.0,2.5,3.0,8.0,3.5,4.0,67,67.0,57,312,1.0,3,0,0,5.5
420,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,1056,GasA,Y,SBrkr,1056,0,1056,1,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,142000,1.5,1.5,2.0,3.0,3.0,12.5,3.5,4.0,42,42.0,42,775,1.0,2,85,184,5.5
421,90,RM,AllPub,Mitchel,Duplex,CompShg,PConc,1344,GasA,Y,SBrkr,1344,0,1344,2,0,2,2,Typ,Attchd,Y,missing,missing,0,WD,Alloca,206300,1.5,1.5,2.0,3.5,1.5,12.5,2.5,4.0,11,11.0,10,1309,2.0,4,0,0,6.0
422,20,RL,AllPub,NWAmes,1Fam,CompShg,CBlock,1602,GasA,Y,SBrkr,1602,0,1602,2,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,215000,1.5,1.5,2.0,2.5,2.5,5.0,3.0,4.0,32,32.0,9,1246,0.5,4,240,0,6.5
423,20,RL,AllPub,Mitchel,1Fam,CompShg,CBlock,988,GasA,Y,FuseA,988,0,988,1,0,2,1,Typ,Attchd,N,missing,missing,0,WD,Normal,113000,1.5,1.0,1.0,5.0,3.0,6.0,3.5,4.0,54,54.0,54,0,0.0,1,0,0,5.0
424,60,RL,AllPub,NoRidge,1Fam,CompShg,PConc,1470,GasA,Y,SBrkr,1470,0,2630,2,1,4,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,315000,1.5,1.5,2.0,3.5,2.5,12.5,3.0,4.0,10,10.0,10,986,1.0,3,66,0,6.5
425,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,1196,GasA,Y,FuseA,1196,0,1196,1,0,2,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,139000,1.5,1.5,2.0,4.0,2.5,13.5,3.5,4.0,52,52.0,52,616,1.0,3,44,0,5.5
426,60,RM,AllPub,OldTown,1Fam,CompShg,CBlock,651,GasA,Y,SBrkr,707,0,1389,1,1,3,1,Typ,Detchd,P,missing,missing,0,WD,Normal,135000,0.5,0.5,2.0,5.0,3.0,6.0,2.5,4.0,63,62.0,17,0,0.0,2,0,126,7.5
427,80,RL,AllPub,SawyerW,1Fam,CompShg,PConc,1518,GasA,Y,SBrkr,1644,0,1644,2,0,2,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,275000,1.5,1.5,2.0,3.5,2.5,13.5,3.0,4.0,20,20.0,20,1518,1.5,2,80,396,6.0
428,20,RL,AllPub,NAmes,1Fam,CompShg,CBlock,907,GasA,Y,SBrkr,907,0,907,1,0,3,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,109008,1.5,1.5,2.0,4.5,3.0,8.0,3.5,4.0,51,44.0,51,288,0.0,1,0,0,5.0
429,20,RL,AllPub,CollgCr,1Fam,CompShg,PConc,1208,GasA,Y,SBrkr,1208,0,1208,2,0,2,1,Typ,Attchd,Y,missing,missing,0,New,Partial,195400,1.5,1.5,2.0,3.5,2.5,12.5,3.0,4.0,0,0.0,0,664,1.0,3,159,0,6.0
430,20,RL,AllPub,Timber,1Fam,CompShg,CBlock,1392,GasA,Y,SBrkr,1412,0,1412,2,0,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,175000,1.5,1.5,2.0,3.5,2.5,6.0,3.5,4.0,21,21.0,21,1005,1.0,2,0,169,5.5
431,160,RM,AllPub,BrDale,Twnhs,CompShg,CBlock,483,GasA,Y,SBrkr,483,0,987,1,1,2,1,Typ,Detchd,Y,missing,missing,0,COD,Abnorml,85400,1.5,1.5,2.0,2.5,3.0,6.0,3.5,4.0,37,37.0,37,387,0.0,1,0,0,5.5
432,50,RM,AllPub,OldTown,1Fam,CompShg,BrkTil,901,GasA,Y,SBrkr,1088,0,1198,1,0,4,1,Typ,missing,N,MnPrv,missing,0,ConLD,Abnorml,79900,1.5,0.0,1.5,5.0,3.0,8.0,3.5,5.0,88,28.0,10,0,0.0,2,98,0,6.5
433,160,RM,AllPub,BrDale,TwnhsE,CompShg,CBlock,765,GasA,Y,SBrkr,765,0,1365,1,1,2,1,Min1,Detchd,Y,missing,missing,0,WD,Normal,122500,1.5,1.5,2.0,2.5,3.0,6.0,3.5,4.0,36,36.0,36,471,1.0,3,276,0,5.0
434,60,RL,AllPub,Gilbert,1Fam,CompShg,PConc,926,GasA,Y,SBrkr,926,0,1604,2,1,3,1,Typ,Attchd,Y,missing,missing,0,WD,Normal,181000,1.5,1.5,2.0,5.0,2.5,12.5,3.5,4.0,11,11.0,10,0,0.0,3,36,0,5.5
435,180,RM,AllPub,MeadowV,Twnhs,CompShg,CBlock,630,GasA,Y,SBrkr,630,0,630,1,0,1,1,Typ,missing,Y,missing,missing,0,WD,Normal,81000,1.5,1.5,2.0,2.5,2.5,5.0,2.5,5.0,36,28.0,36,495,1.0,1,88,0,5.5
436,60,RL,AllPub,CollgCr,1Fam,CompShg,PConc,799,GasA,Y,SBrkr,827,0,1661,2,1,3,1,Typ,Attchd,Y,missing,missing,0,ConLw,Normal,212000,1.5,1.5,3.0,1.0,2.5,12.5,3.0,4.0,13,13.0,13,729,1.0,2,219,0,6.5
437,50,RM,AllPub,OldTown,1Fam,CompShg,BrkTil,648,GasA,Y,FuseA,734,0,1118,1,0,2,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,116000,1.5,1.5,2.0,5.0,2.0,11.5,3.5,4.0,86,16.0,56,0,0.0,3,0,0,7.0
438,45,RM,AllPub,BrkSide,1Fam,CompShg,PConc,884,GasA,Y,SBrkr,904,0,904,1,0,2,1,Typ,Detchd,Y,missing,missing,0,WD,Normal,119000,1.5,1.5,2.0,5.0,3.0,13.5,3.0,4.0,83,83.0,5,0,0.0,1,0,105,6.5
439,30,RL,AllPub,Crawfor,1Fam,CompShg,PConc,440,GasA,N,SBrkr,694,0,694,1,0,2,1,Typ,Detchd,P,MnPrv,missing,0,WD,Normal,90350,1.5,1.5,2.0,4.0,3.0,13.0,3.5,3.0,94,17.0,5,365,0.0,1,0,34,5.5
440,50,RL,AllPub,Edwards,1Fam,CompShg,BrkTil,684,GasA,Y,SBrkr,684,0,1196,1,0,3,1,Typ,Detchd,Y,GdPrv,Shed,800,ConLI,Normal,110000,0.5,1.5,2.0,5.0,1.5,13.5,3.5,4.0,89,4.0,9,0,0.0,3,46,0,7.0
